"ID","Age","TT_Betas","TT_Pvals","R_Betas","R_Pvals","Inter_Betas","Inter_Pvals"
"00001",74,0.277631736597609,0.579097469942194,0.277631736597613,0.625317398799065,0.108030744212655,0.875178341595516
"00002",75,0.169076330043184,0.721421125237193,-0.502091943797145,0.311495399604954,0.219229157782144,0.724688014911998
"00003",67,1.05460234766914,0.0275809051785874,1.39222909663898,0.0172122414101311,-1.34513748910548,0.0536663002025754
"00004",70,0.872764466823957,0.0815452285714755,-0.427937963960219,0.415009001316568,-0.0965198085966261,0.8849951179272
"00006",80,-0.941370416271889,0.169074832038014,-0.595166772202471,0.425246671337465,0.793576302199519,0.340517799097008
"00007",70,0.867019682864433,0.0844827279174512,0.37194241606951,0.482838875944228,-0.526766723404802,0.42177940350605
"00008",67,-0.926523908154487,0.104569477495424,-0.850150929370355,0.178649299464203,0.821163392497202,0.264035071620633
"00009",73,-0.651081515272727,0.144620780359826,0.0671393028369041,0.902531700009248,0.501750121882968,0.446556511771614
"00010",74,0.839101093182621,0.0757692725180321,-0.59086833143952,0.275498912304818,0.450779538267292,0.506237593743376
"00012",72,-0.712949807854363,0.107382988208093,-0.753771802374611,0.16297707874096,0.648411286716796,0.318598317409721
"00013",76,-0.505548566662216,0.352904147956318,-0.0769610411360375,0.899765822528715,0.487199427994136,0.494843880135334
"00014",71,-0.0145987994211145,0.976405081322638,0.330241686873379,0.633947537843068,-0.42723395285994,0.58809866064084
"00015",70,0.456304784884745,0.302456277090088,0.356674943936836,0.554553029145297,-0.233161233571343,0.744450405625562
"00016",69,-0.693147180557922,0.192848862404065,-0.371063681389838,0.536367446998455,0.940158213276798,0.184195891564546
"00017",68,0.100083458556234,0.839147089625752,-0.607452459454638,0.231021853110786,0.366290402638872,0.562961719995493
"00020",73,-0.684778930891942,0.265787868529315,-0.810930216217502,0.229974458616696,0.311939050101022,0.686001238295864
"00021",73,-1.53108459802321,0.020264489454493,-1.29928298396609,0.0671671716218882,1.83336546989364,0.0219811370131951
"00022",70,0.781216199107431,0.0806943660371892,0.897447644071646,0.0856614875559219,-0.496094947519168,0.444830925092173
"00023",66,-0.269663566951169,0.610306335561081,0.204794412646866,0.775923511597023,-0.338325805270156,0.67613971345001
"00024",67,-0.916290731875297,0.185501352892159,-1.15267950993767,0.100696037266305,0.533298479619391,0.504551375161766
"00104",86,0.146603474190409,0.774919883757006,-0.00479617226343825,0.993093486148532,-0.554819615669166,0.408542807001244
"00108",66,0.425667815425182,0.38616050378166,0.258234871125438,0.618172663274957,-0.37374775824688,0.558230554209518
"00110",69,-0.868500068036959,0.0980435702194177,-0.606135803569669,0.289528009212283,0.753430738252343,0.266017066446112
"00111",75,-0.0560894666517217,0.937406279065133,-0.200670695464269,0.790825073605449,-0.061693569004274,0.942190240098061
"00112",72,0.228258651980795,0.676432220549199,0.10536051565705,0.866238727680818,-0.251441987436362,0.734249203408719
"00113",75,-0.416972714961224,0.433642548791772,-0.813106495638485,0.180698831455932,0.733642324285096,0.304495104321378
"00114",71,-0.255652829877191,0.571594047141839,-0.523248143761866,0.339044765886911,0.503488993781492,0.448407022308889
"00115",61,0.144581228809806,0.783301116308572,-0.0312525435039422,0.956179160363378,-0.1587910593824,0.815126465211274
"00120",69,-0.864997437487012,0.159248169945221,-0.71562003641367,0.289560912411087,0.853568741663517,0.267715329621211
"00121",70,0.950976289861834,0.059121122712458,0.311896330571952,0.577480578383913,-0.909733331328038,0.187223621603941
